id,name
112,"Bacterial spores"
152,"Bacteroides fragilis phage"
162,"Bacteroides phage B40-8"
122,"Bladder fluke"
182,Calicivirus
22,Cholera
32,"Clostridium perfringens"
102,"Clostridium perfringens spores"
42,"E. coli"
52,"Enterococcus / Fecal streptococcus"
172,Enterovirus
202,"F-specific phages"
192,"F-specific RNA phages"
62,"Fecal (thermotolerant) coliform"
132,Giardia
142,HIV
222,Poliovirus
72,"Pseudomonas aeruginosa"
232,Rotavirus
82,Salmonella
212,"Somatic coliphage"
92,"Total coliform"
